ori_dbid,display_name,related_events,related_organizations,related_people,related_places,related_recognitions,related_resources,related_works,related_total_count
52993310d707ff3435000002,"""Jane Burns""",0,0,2,0,0,2,0,4
53eb18dcd707ff0c3e000002,"""Amala Groom""",18,0,5,4,2,2,0,31
5429fc22d707ff2d0e00002f,"""Kate Daw""",2,0,4,3,1,2,0,12
542b816fd707ff0c420000a7,"""Christina Davidson""",1,0,1,0,0,1,0,3
54348b82d707ff30a900001b,"""Luke Pellatt""",1,0,12,2,0,1,0,16
543da0cdd707ff7306000008,"""May Grigg""",2,0,2,0,0,0,0,4
54582b22d707ff605b000040,"""Christine Anu""",1,0,1,0,0,0,0,2
545c8cced707ff48d5000000,"""William Wright""",1,0,1,9,0,0,0,11
5466ceb2d707ff0d77000004,"""Shirley Purdie""",4,0,3,1,1,0,0,9
5466ddd7d707ff0d74000006,"""Kathy Ramsey""",2,0,3,0,0,0,0,5
54d5626ad707ff7335000000,"""Jeannie Herbert Punayi Nungarrayi""",0,0,1,0,0,3,0,4
556cddd9d707ff4ba5000004,"""Nell  Campbell""",0,0,2,0,0,0,0,2
556fd434d707ff2d42000030,"""Sarah de Teliga""",1,0,3,0,0,0,0,4
5576988dd707ff6a51000000,"""Anna Plunkett""",0,0,3,1,0,0,0,4
55769900d707ff6a51000002,"""Luke Sales""",0,0,3,1,0,0,0,4
55efaaead707ff1039000000,"""Barrupu Yunupingu""",2,0,1,1,0,0,0,4
55efdafcd707ff103900001a,"""Ruby  Djikarra Alderton""",1,0,1,0,0,0,0,2
55efdbfad707ff103900001f,"""Galuma Maymuru""",26,0,14,5,0,10,0,55
561dcad0d707ff0fde000005,"""Ian Hobbs""",0,0,3,0,0,0,0,3
564947c7d707ff73e200000d,"""Max Collard""",0,0,2,2,0,0,0,4
5743cb2fd707ff4f4d000016,"""Simon Barney""",0,0,2,0,0,0,0,2
5743cb82d707ff4f41000019,"""Chandler Coventry""",0,0,1,0,0,0,0,1
58f84070d707ff103f00000a,"""Olga Sharp""",0,0,1,0,0,0,0,1
5a0e6378d707ff0f93000024,"""Susan Marawarr""",21,0,20,3,0,5,0,49
5a62a9c5d707ff4df8000036,"""Noel Flood""",21,0,32,15,2,8,0,78
5b5e56acd707ff0f8a000011,"""Saville Whiting""",0,0,1,1,0,0,0,2
5d1054c0ede610348c000021,"""Shane  Forrest""",0,0,1,0,0,0,0,1
5d1054f8ede610348c000024,"""Jane  Naylor""",0,0,1,0,0,0,0,1
5d106055ede610348c000039,"""Terry Reid""",0,0,1,0,0,0,0,1
5d367375ede610348c000270,"""Dymphna Kerinauia""",1,0,1,1,0,0,0,3
5d42440bede610348c0004c5,"""Mitch Cairns""",1,0,1,0,0,0,0,2
5d5686efede610348c0006ad,"""Mary Callaghan""",0,0,2,0,0,2,0,4
5f75d237d707ff16ba00000b,"""Elizabeth Ann Macgregor""",0,0,1,0,0,0,0,1
5f7670b4d707ff16ba000020,"""Rob Scott-Mitchell""",0,0,1,0,0,0,0,1
601b3c97d707ff2e60000039,"""Louise  Owen""",19,0,2,6,4,0,6,37
60f7a81bd707ff05e30000b5,"""Alexander  Boynes""",0,0,1,0,0,0,0,1
